                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.7181,                 3.1638,                 1.1929,                0.84639,                0.66667,                0.71238,                0.60161,                0.52248,                 2.1895,                 1.0526,                 0.0838,                 0.0018,                 0.0018
                      1,                0.60726,                 1.5191,                 1.1277,                0.96664,                0.83333,                0.96318,                 0.7664,                0.58427,                 1.0951,                 1.0879,               0.066517,              0.0035168,              0.0035168
                      2,                0.53185,                 1.0171,                 1.0731,                0.97799,                0.91142,                0.95337,                0.71177,                0.68358,                0.71808,                 1.2091,               0.049046,              0.0050456,              0.0050456
                      3,                 0.5029,                0.97748,                 1.0305,                0.91335,                0.91667,                0.94644,                0.70363,                 0.6722,                0.76411,                 1.2753,               0.031386,              0.0063862,              0.0063862
                      4,                0.52358,                0.90105,                 1.0356,                0.84107,                0.68705,                0.88173,                0.66139,                0.80691,                 1.2941,                 1.4353,               0.013539,              0.0075388,              0.0075388
                      5,                0.52546,                0.90108,                 1.0286,                0.77244,                0.71564,                0.84925,                0.60623,                0.89497,                 1.3582,                 1.5962,               0.007525,               0.007525,               0.007525
                      6,                0.56426,                0.80014,                 1.0376,                0.94094,                0.70833,                0.86518,                  0.672,                0.73967,                0.92272,                 1.2864,               0.007525,               0.007525,               0.007525
                      7,                0.52998,                 0.7381,                 1.0449,                0.68927,                0.83333,                0.87284,                0.63052,                0.77014,                 1.6532,                 1.3423,                0.00703,                0.00703,                0.00703
                      8,                0.59783,                 0.8388,                 1.0558,                0.93437,                0.62193,                0.78401,                 0.5258,                0.97306,                 1.0373,                 1.6274,               0.006535,               0.006535,               0.006535
                      9,                0.55121,                0.78165,                  1.064,                0.62157,                0.72566,                 0.7143,                0.48417,                 1.1563,                 1.6172,                 2.1579,                0.00604,                0.00604,                0.00604
                     10,                0.48546,                0.85401,                 1.1234,                0.64257,                0.54167,                0.62351,                 0.3984,                 1.1875,                 1.3766,                 2.2025,               0.005545,               0.005545,               0.005545
                     11,                 0.4424,                0.62622,                 1.0618,                0.61552,                0.78139,                0.70433,                0.38319,                 1.2372,                 1.2286,                 2.2961,                0.00505,                0.00505,                0.00505
                     12,                 0.4648,                0.55315,                  1.039,                0.84883,                0.74791,                 0.8033,                0.50671,                0.92691,                0.88713,                 1.6418,               0.004555,               0.004555,               0.004555
                     13,                0.49143,                0.55052,                 1.1198,                0.81475,                0.65266,                0.79741,                0.53811,                 1.0142,                0.90373,                 1.7752,                0.00406,                0.00406,                0.00406
                     14,                0.44242,                0.55314,                 1.0602,                0.83523,                0.77987,                0.87987,                 0.6199,                0.94297,                  0.692,                 1.5602,               0.003565,               0.003565,               0.003565
                     15,                0.42708,                0.48785,                 1.0402,                0.84641,                0.86487,                0.91678,                 0.6259,                0.98316,                0.62663,                 1.7277,                0.00307,                0.00307,                0.00307
                     16,                0.37965,                0.47499,                0.99613,                0.96781,                0.74339,                0.93802,                0.67679,                0.92346,                0.65713,                 1.6617,               0.002575,               0.002575,               0.002575
                     17,                0.40741,                0.47632,                0.98819,                0.97499,                0.90551,                0.98574,                 0.6808,                 1.0364,                0.62868,                 2.0523,                0.00208,                0.00208,                0.00208
                     18,                0.31571,                0.34042,                0.94662,                0.93303,                0.93576,                0.98167,                0.68011,                0.96484,                0.61476,                 1.9106,               0.001585,               0.001585,               0.001585
                     19,                0.33944,                0.35607,                0.95808,                0.99175,                0.92096,                0.98167,                 0.7311,                0.79108,                0.54668,                 1.4906,                0.00109,                0.00109,                0.00109
